distrito_id,distrito_nombre,seccion_id,seccion_nombre,anio,Cambiemos/Macrismo,Conservadurismo/Nacionalismo,Izquierda,Kirchnerismo,Liberalismo,Peronismo Federal/Tercera Via
1,Ciudad Autónoma Bs.As.,1,COMUNA 01,2019,0.520979380221135,0.00821945957053324,0.0272980897659825,0.374103960356914,0.0175611915055047,0.0518379185799303
1,Ciudad Autónoma Bs.As.,2,COMUNA 02,2019,0.710728498783993,0.00648537106640136,0.0192718697029995,0.206868597538507,0.013505048271796,0.0431406146363033
1,Ciudad Autónoma Bs.As.,3,COMUNA 03,2019,0.474089641788768,0.00845741209969238,0.0346177639551537,0.397472945603078,0.0204062608577748,0.0649559756955332
1,Ciudad Autónoma Bs.As.,4,COMUNA 04,2019,0.412682629428287,0.00885476015938568,0.032254552580582,0.462131384318365,0.0187474143374535,0.0653292591759267
1,Ciudad Autónoma Bs.As.,5,COMUNA 05,2019,0.474875056064586,0.00630326135708336,0.0356490677260204,0.394021913244057,0.0197587620939322,0.0693919395143205
1,Ciudad Autónoma Bs.As.,6,COMUNA 06,2019,0.544870200528525,0.00497435100264262,0.0312606870822322,0.332457640292243,0.0186382714130266,0.0677988496813306
1,Ciudad Autónoma Bs.As.,7,COMUNA 07,2019,0.480151173351302,0.00735358743737732,0.0297512671022178,0.39038467172531,0.0210719831248352,0.0712873172589576
1,Ciudad Autónoma Bs.As.,8,COMUNA 08,2019,0.358578733117064,0.0103072402296888,0.0288728534071405,0.515694503104753,0.0198686208786765,0.0666780492626774
1,Ciudad Autónoma Bs.As.,9,COMUNA 09,2019,0.442759357744472,0.00888911507502311,0.0289998897342596,0.415854517078467,0.0232406252915681,0.0802564950762106
1,Ciudad Autónoma Bs.As.,10,COMUNA 10,2019,0.484336984248588,0.00675180791864156,0.0313428689290555,0.373016340722157,0.0221580529200306,0.0823939452615273
1,Ciudad Autónoma Bs.As.,11,COMUNA 11,2019,0.52692569870484,0.00615649553331181,0.0289455745703728,0.340566139274567,0.0207584400674488,0.0766476518494601
1,Ciudad Autónoma Bs.As.,12,COMUNA 12,2019,0.545943625139051,0.00581573109724761,0.0302105763038232,0.328796976340253,0.0192686750671671,0.0699644160524587
1,Ciudad Autónoma Bs.As.,13,COMUNA 13,2019,0.665165732213927,0.00500827934811028,0.0239084333149348,0.237161200360224,0.0159544490602214,0.0528019057025826
1,Ciudad Autónoma Bs.As.,14,COMUNA 14,2019,0.66107990128601,0.00484269008023612,0.0228431117229064,0.248533551595421,0.0150923273435272,0.0476084179718988
1,Ciudad Autónoma Bs.As.,15,COMUNA 15,2019,0.470280382501411,0.00598334866534219,0.0355444924589708,0.401147195015422,0.0182824542552122,0.0687621271036418
2,Buenos Aires,1,ADOLFO ALSINA,2019,0.105697268915795,0.00107754398338623,0.00315426511500333,0.0774460248422867,0.00284079777438188,0.0132048117236785
2,Buenos Aires,2,ALBERTI,2019,0.467015022860875,0.00587851077726976,0.0147615937295885,0.453559764859569,0.0105813193990856,0.048203788373612
2,Buenos Aires,3,ALMIRANTE BROWN,2019,0.251973990421292,0.0157809070303528,0.0308953254915353,0.567768392468128,0.0142854388772146,0.0620247482077792
2,Buenos Aires,4,AVELLANEDA,2019,0.282757384319793,0.00945473535704682,0.0238511872980736,0.473718875564615,0.0132818376326527,0.0540315131863549
2,Buenos Aires,5,AYACUCHO,2019,0.219030385282364,0.0052778406092136,0.00757747116037096,0.227663424564578,0.00599411897760688,0.0315162482093041
2,Buenos Aires,6,AZUL,2019,0.468761996161229,0.00870921305182342,0.0214731285988484,0.42929462571977,0.0135796545105566,0.0581813819577735
2,Buenos Aires,7,BAHÍA BLANCA,2019,0.509433862740858,0.0237310307358782,0.0317750009230786,0.356661725998639,0.018899373889009,0.0594990057125375
2,Buenos Aires,8,BALCARCE,2019,0.511149564138562,0.019132194978615,0.0157693688987561,0.362956675046525,0.0142348754448399,0.076757321492703
2,Buenos Aires,9,BARADERO,2019,0.354174740558929,0.0165353313525384,0.014985144038238,0.551479137062395,0.0127459845842484,0.0500796624036516
2,Buenos Aires,10,ARRECIFES,2019,0.457191016806306,0.0118486936691289,0.01145208467602,0.440781319716425,0.0106092905656636,0.0681175945664568
2,Buenos Aires,11,BERAZATEGUI,2019,0.276935843986485,0.0174863172037699,0.0310604414060185,0.591017762936911,0.0147892750587817,0.0687103594080338
2,Buenos Aires,12,BERISSO,2019,0.319218448690774,0.0115384002422427,0.0299934658230672,0.555771590673658,0.0140086378631648,0.0694694567070936
2,Buenos Aires,13,BOLÍVAR,2019,0.458176809416479,0.00463310793889306,0.0224559646047249,0.436388680190333,0.0102679689456549,0.0680774689039152
2,Buenos Aires,14,BRAGADO,2019,0.447570773421606,0.00703424019861384,0.0138960725492224,0.458570394124341,0.00944795007068722,0.0634805696355298
2,Buenos Aires,15,BRANDSEN,2019,0.413076882318656,0.0139352514173687,0.016690510252742,0.488369628569915,0.0132464367085254,0.0546812907327929
2,Buenos Aires,16,CAMPANA,2019,0.395403700791193,0.0205742164304858,0.0268973375487474,0.48320521256279,0.0129351157901494,0.0609844168766349
2,Buenos Aires,17,CAÑUELAS,2019,0.360390474781837,0.0111817778435143,0.0260908149682,0.532998077207514,0.0122762904895725,0.0570625647093625
